Régime(s) d études,Secteur(s) d activité,Niveau d entrée,Discipline(s),Domaine,Diplôme,Nom de la formation
Formation continue|Formation initiale,Informatique,BAC +3,Mathématiques et informatique|Ingénierie et technologies,SCIENCES| TECHNOLOGIES| SANTÉ,Diplôme d'université 2ème cycle,Diplôme d'Université (DU) Informatique UHA 4.0.4 - 4.0.5
Formation initiale,Enseignement| formation| éducation,BAC +2,Education| formation des enseignants,SCIENCES HUMAINES ET SOCIALES,Diplôme d'université 1er cycle,Diplôme d'Université (DU) Métiers de l'enseignement et de la formation
Formation initiale,Administration,BAC +2,,DROIT| ÉCONOMIE| GESTION,Diplôme d'université 1er cycle,Diplôme d'Université (DU) Prépa Talents du service public
Formation continue,Agronomie| Agroalimentaire|Bio-industries| biotechnologies,Baccalauréat ou équivalent|BAC +2,Agronomie| Agriculture,SCIENCES| TECHNOLOGIES| SANTÉ,Diplôme d'université 1er cycle,Diplôme d'Université (DU) Production et commercialisation brassicoles| biérologie
Formation en apprentissage|Formation en contrat de professionnalisation,Gestion| comptabilité| management des entreprises,Baccalauréat ou équivalent,Economie| gestion| management| marketing,DROIT| ÉCONOMIE| GESTION,Diplôme d'université 2ème cycle,Diplôme d'Université (DU) Supérieur de Comptabilité et de Gestion
Formation initiale,Gestion| comptabilité| management des entreprises|Commerce| vente| distribution,BAC +5,Economie| gestion| management| marketing,DROIT| ÉCONOMIE| GESTION,Diplôme d'université 2ème cycle,Diplôme d'Université en Etudes Marketing et Recherche
Formation initiale,,Baccalauréat ou équivalent,Economie| gestion| management| marketing,DROIT| ÉCONOMIE| GESTION,Diplôme d'université 1er cycle,Diplôme d'Université Sport Business parcours E-sport and gaming
,Commerce| vente| distribution,Baccalauréat ou équivalent,Economie| gestion| management| marketing,DROIT| ÉCONOMIE| GESTION,Diplôme d'université 1er cycle,Diplôme d'Université Sport Business parcours Management et Marketing du Sport
Formation initiale|Formation en contrat de professionnalisation,,BAC +5,Ingénierie et technologies,SCIENCES| TECHNOLOGIES| SANTÉ,Diplôme d'université 3ème cycle,Mastère Spécialisé CGE (Conférence des Grandes Ecoles) Ingénierie Textile
Formation continue,Chimie| matériaux| plasturgie|Risque et sécurité,BAC +5,Ingénierie et technologies,SCIENCES| TECHNOLOGIES| SANTÉ,Diplôme d'université 3ème cycle,Mastère spécialisé Gestion des Risques et Menaces N.R.B.C.E.
